      164    950,983783873        751,000780942        0,00000000000    
      165    949,541047684        694,428333139        0,00000000000    
      166    950,121186620        637,783268686        0,00000000000    
      167    952,885224153        582,480101109        0,00000000000    
      168    952,957248419        528,585277990        0,00000000000    
      169    951,382499809        474,659432949        0,00000000000    
      170    950,583901876        420,819205041        0,00000000000    
      171    950,192825987        366,150993793        0,00000000000    
      172    950,229031220        310,386052947        0,00000000000    
      173    950,027674823        253,555735595        0,00000000000    
      174    949,646496503        195,443680255        0,00000000000    
      175    950,567990285        136,864799791        0,00000000000    
      176    955,008115189        81,0705990259        0,00000000000    
      177    918,697515110        44,8718564938        0,00000000000    
      178    863,586488046        48,5792049437        0,00000000000    
      179    806,696327741        48,0385894183        0,00000000000    
      180    751,000779258        49,0162173103        0,00000000000    
      181    694,428319328        50,4589619773        0,00000000000    
      182    637,783235306        49,8788367908        0,00000000000    
      183    582,480036447        47,1148208711        0,00000000000    
      184    528,585232813        47,0427832657        0,00000000000    
      185    474,659383710        48,6175717774        0,00000000000    
      186    420,518764836        49,4817232795        0,00000000000    
      187    364,250351883        51,0040638934        0,00000000000    
      188    307,428670726        50,5986553263        0,00000000000    
      189    251,140772185        48,1268868844        0,00000000000    
      190    194,161888069        47,9616912573        0,00000000000    
      191    136,773097390        48,3287289489        0,00000000000    
      192    81,3723888775        44,7890868233        0,00000000000    
      193    261,127697998        274,859733537        0,00000000000    
      194    261,020046119        725,028913763        0,00000000000    
      195    725,029658146        738,980334489        0,00000000000    
      196    738,980333401        274,970343396        0,00000000000    
      197    200,970905025        352,881862928        0,00000000000    
      198    205,585940263        296,242224128        0,00000000000    
      199    198,366512951        411,714915025        0,00000000000    
      200    197,802396559        473,258883115        0,00000000000    
      201    199,516425455        533,736473496        0,00000000000    
      202    200,429293224        591,367675895        0,00000000000    
      203    201,211642116        647,662562386        0,00000000000    
      204    205,461715758        703,562046575        0,00000000000    
      205    342,904658293        791,360432016        0,00000000000    
      206    277,660637535        775,148303409        0,00000000000    
      207    408,659828396        798,202935030        0,00000000000    
      208    471,618414792        800,289105698        0,00000000000    
      209    532,403365029        799,432494250        0,00000000000    
      210    590,558391747        799,048246979        0,00000000000    
      211    647,518740139        798,693906875        0,00000000000    
      212    703,538893334        794,523456704        0,00000000000    
      213    791,360651449        657,095234400        0,00000000000    
      214    775,149146673        722,339000667        0,00000000000    
      215    798,202922984        591,340162792        0,00000000000    
      216    800,289077543        528,381576607        0,00000000000    
      217    799,432459821        467,596642705        0,00000000000    
      218    799,048224099        409,441621089        0,00000000000    
      219    798,693896287        352,481268917        0,00000000000    
      220    794,523452372        296,461111873        0,00000000000    
      221    657,095164121        208,639402987        0,00000000000    
      222    722,339000667        224,850853327        0,00000000000    
      223    591,339870674        201,797314624        0,00000000000    
      224    527,936933585        199,221113195        0,00000000000    
      225    465,511548162        201,057493709        0,00000000000    
      226    404,219216671        204,078429285        0,00000000000    
      227    342,288731646        210,434696768        0,00000000000    
      228    277,702551698        224,850948427        0,00000000000    
